zip_code,year,population
00951,2010,35
00952,2016,9078
00952,2015,9363
00952,2014,9338
00952,2013,9611
00952,2012,10099
00952,2011,10294
00952,2010,10008
00953,2016,72712
00953,2015,73099
00953,2014,73537
00953,2013,73236
00953,2012,73159
00953,2011,72520
00953,2010,73014
00956,2016,71602
00956,2015,74529
00956,2014,75830
00956,2013,77151
00956,2012,79371
00956,2011,80531
00956,2010,79304
00957,2016,42155
00957,2015,43336
00957,2014,44639
00957,2013,46252
00957,2012,46330
00957,2011,46777
00957,2010,45680
00959,2016,48349
00959,2015,48168
00959,2014,48699
00959,2013,48495
00959,2012,48030
00959,2011,48521
00959,2010,50560
00960,2016,2429
00960,2015,2355
00960,2014,2037
00960,2013,1496
00960,2012,1585
00960,2011,2240
00960,2010,1779
00961,2016,30655
00961,2015,30978
00961,2014,31774
00961,2013,32691
00961,2012,33000
00961,2011,32703
00961,2010,32429
00962,2016,20509
00962,2015,20975
00962,2014,21204
00962,2013,21717
00962,2012,22200
00962,2011,22523
00962,2010,22491
00965,2016,7543
00965,2015,8483
00965,2014,8978
00965,2013,8988
00965,2012,9256
00965,2011,9579
00965,2010,9134
00966,2016,15981
00966,2015,16058
00966,2014,15785
00966,2013,16371
00966,2012,17445
00966,2011,17696
00966,2010,16676
00968,2016,3293
00968,2015,3492
00968,2014,3594
00968,2013,3532
00968,2012,3986
00968,2011,3774
00968,2010,3478
00969,2016,43372
00969,2015,43021
00969,2014,42316
00969,2013,42756
00969,2012,42731
00969,2011,42066
00969,2010,42219
00971,2016,28550
00971,2015,29095
00971,2014,30349
00971,2013,30410
00971,2012,30042
00971,2011,30911
00971,2010,30986
00976,2016,61084
00976,2015,61762
00976,2014,61862
00976,2013,63387
00976,2012,64104
00976,2011,64650
00976,2010,65136
00979,2016,15019
00979,2015,15234
00979,2014,16157
00979,2013,16248
00979,2012,16247
00979,2011,16836
00979,2010,17030
00982,2016,14874
00982,2015,15029
00982,2014,15132
00982,2013,16216
00982,2012,16656
00982,2011,16370
00982,2010,16428
00983,2016,38533
00983,2015,39407
00983,2014,40273
00983,2013,41590
00983,2012,42485
00983,2011,42438
00983,2010,39234
00985,2016,33320
00985,2015,33653
00985,2014,35236
00985,2013,36507
00985,2012,37382
00985,2011,38155
00985,2010,36553
00987,2016,58705
00987,2015,60377
00987,2014,60544
00987,2013,59324
00987,2012,59995
00987,2011,60789
00987,2010,63661
01001,2016,17423
01001,2015,17438
01001,2014,17141
01001,2013,17245
01001,2012,17380
01001,2011,16775
01001,2010,16769
01002,2016,29970
01002,2015,29780
01002,2014,29844
01002,2013,29266
01002,2012,28718
01002,2011,27684
01002,2010,29049
01003,2016,11296
01003,2015,11241
01003,2014,11062
01003,2013,11032
01003,2012,11286
01003,2011,11516
01003,2010,10372
01005,2016,5228
01005,2015,5201
01005,2014,5113
01005,2013,5356
01005,2012,5120
01005,2011,5045
01005,2010,5079
01007,2016,14888
01007,2015,14838
01007,2014,14774
01007,2013,14673
01007,2012,14593
01007,2011,14479
01007,2010,14649
01008,2016,1194
01008,2015,1171
01008,2014,1212
01008,2013,1144
01008,2012,1160
01008,2011,1196
01008,2010,1263
01009,2016,237
01009,2015,429
01009,2014,546
01009,2013,716
01009,2012,636
01009,2011,663
01009,2010,741
01010,2016,3718
01010,2015,3695
01010,2014,3667
01010,2013,3635
01010,2012,3610
01010,2011,3582
01010,2010,3609
01011,2016,1523
01011,2015,1506
01011,2014,1478
01011,2013,1414
01011,2012,1326
01011,2011,1331
01011,2010,1370
01012,2016,528
01012,2015,539
01012,2014,499
01012,2013,577
01012,2012,506
01012,2011,509
01012,2010,661
01013,2016,22943
01013,2015,22394
01013,2014,22299
01013,2013,22113
01013,2012,21822
01013,2011,22391
01013,2010,23188
01020,2016,30629
01020,2015,30952
01020,2014,30593
01020,2013,30571
01020,2012,30893
01020,2011,30225
01020,2010,29668
01022,2016,2528
01022,2015,2840
01022,2014,2711
01022,2013,2794
01022,2012,2611
01022,2011,2589
01022,2010,2451
01026,2016,1018
01026,2015,1036
01026,2014,1009
01026,2013,1057
01026,2012,1066
01026,2011,1100
01026,2010,946
01027,2016,17872
01027,2015,17787
01027,2014,17652
01027,2013,17605
01027,2012,17622
01027,2011,17641
01027,2010,17660
01028,2016,16063
01028,2015,16017
01028,2014,15917
01028,2013,15816
01028,2012,15710
01028,2011,15555
01028,2010,15720
01029,2016,760
01029,2015,717
01029,2014,701
01029,2013,596
01029,2012,601
01029,2011,577
01029,2010,789
01030,2016,11278
01030,2015,11250
01030,2014,11485
01030,2013,11310
01030,2012,11096
01030,2011,11633
01030,2010,11669
01031,2016,1192
01031,2015,1369
01031,2014,1389
01031,2013,1484
01031,2012,1547
01031,2011,1524
01031,2010,1308
01032,2016,590
01032,2015,611
01032,2014,585
01032,2013,570
01032,2012,626
01032,2011,681
01032,2010,570
01033,2016,6310
01033,2015,6304
01033,2014,6214
01033,2013,6182
01033,2012,6197
01033,2011,6159
01033,2010,6227
01034,2016,2323
01034,2015,2190
01034,2014,2061
01034,2013,2174
01034,2012,1952
01034,2011,1856
01034,2010,2021
01035,2016,5338
01035,2015,5324
01035,2014,5285
01035,2013,5254
01035,2012,5239
01035,2011,5209
01035,2010,5250
01036,2016,5190
01036,2015,5179
01036,2014,5141
01036,2013,5129
01036,2012,5096
01036,2011,5078
01036,2010,5109
01037,2016,755
01037,2015,731
01037,2014,721
01037,2013,624
01037,2012,716
01037,2011,819
01037,2010,838
01038,2016,2853
01038,2015,2794
01038,2014,2837
01038,2013,2832
01038,2012,2676
01038,2011,2553
01038,2010,2545
01039,2016,1194
01039,2015,1236
01039,2014,1354
01039,2013,1566
01039,2012,1532
01039,2011,1470
01039,2010,1336
01040,2016,40280
01040,2015,40342
01040,2014,40079
01040,2013,40029
01040,2012,39996
01040,2011,39897
01040,2010,39880
01050,2016,2343
01050,2015,2513
01050,2014,2512
01050,2013,2548
01050,2012,2670
01050,2011,2656
01050,2010,2530
01053,2016,1697
01053,2015,1772
01053,2014,1847
01053,2013,1909
01053,2012,1926
01053,2011,1913
01053,2010,1685
